ZM4	166518	166519	Control_TF_DNA_2_peak_1	14.0556	ZM4	167075	167076	fbaB	.	+	-557
ZM4	246556	246557	Control_TF_DNA_2_peak_2	2.21565	ZM4	245174	245175	ZMO1_ZMO0252	.	+	1382
ZM4	166523	166524	Control_TF_DNA_3_peak_1	8.22102	ZM4	167075	167076	fbaB	.	+	-552
ZM4	166536	166537	Control_TF_DNA_4_peak_1	15.1656	ZM4	167075	167076	fbaB	.	+	-539
ZM4	6229	6230	ZMO0023_peak_1	1542.1	ZM4	6688	6689	cysD	.	-	459
ZM4	6948	6949	ZMO0023_peak_2a	2.23423	ZM4	6688	6689	cysD	.	-	-260
ZM4	7084	7085	ZMO0023_peak_2b	8.25471	ZM4	6688	6689	cysD	.	-	-396
ZM4	13546	13547	ZMO0023_peak_3	3.31549	ZM4	13005	13006	ZMO1_ZMO0010	.	+	541
ZM4	14272	14273	ZMO0023_peak_4	13.564	ZM4	14370	14371	ZMO1_ZMO0011	.	-	98
ZM4	17262	17263	ZMO0023_peak_5	26.8172	ZM4	17332	17333	hrcA	.	+	-70
ZM4	22707	22708	ZMO0023_peak_6	21.2488	ZM4	23799	23800	ZMO1_ZMO0020	.	-	1092
ZM4	26848	26849	ZMO0023_peak_7	1142.47	ZM4	26828	26829	ZMO1_ZMO0023	.	-	-20
ZM4	30899	30900	ZMO0023_peak_8	8.33587	ZM4	31082	31083	ZMO1_ZMO0028	.	+	-183
ZM4	31557	31558	ZMO0023_peak_9	85.6009	ZM4	31082	31083	ZMO1_ZMO0028	.	+	475
ZM4	37147	37148	ZMO0023_peak_10	48.6678	ZM4	37054	37055	ZMO1_ZMO0031	.	-	-93
ZM4	43281	43282	ZMO0023_peak_11	2.01892	ZM4	43129	43130	ZMO1_ZMO0043	.	-	-152
ZM4	47907	47908	ZMO0023_peak_12	86.5993	ZM4	48424	48425	cynX	.	-	517
ZM4	66542	66543	ZMO0023_peak_13	11.2659	ZM4	67041	67042	phoH	.	-	499
ZM4	76469	76470	ZMO0023_peak_14	2.67721	ZM4	76369	76370	mcp	.	-	-100
ZM4	80596	80597	ZMO0023_peak_15	65.5282	ZM4	80422	80423	ZMO1_ZMO0088	.	-	-174
ZM4	82692	82693	ZMO0023_peak_16	7.37729	ZM4	82624	82625	ZMO1_ZMO0091	.	+	68
ZM4	87464	87465	ZMO0023_peak_17	7.98267	ZM4	86670	86671	ZMO1_ZMO0099	.	+	794
ZM4	95331	95332	ZMO0023_peak_18a	3.41134	ZM4	95276	95277	ZMO1_ZMO0109	.	+	55
ZM4	95525	95526	ZMO0023_peak_18b	8.36687	ZM4	95276	95277	ZMO1_ZMO0109	.	+	249
ZM4	100071	100072	ZMO0023_peak_19	97.6303	ZM4	99840	99841	ZMO1_ZMO0112	.	+	231
ZM4	100830	100831	ZMO0023_peak_20	6.40863	ZM4	100923	100924	pabB	.	+	-93
ZM4	104085	104086	ZMO0023_peak_21	226.773	ZM4	104016	104017	ZMO1_ZMO0116	.	+	69
ZM4	110341	110342	ZMO0023_peak_22	449.832	ZM4	110562	110563	ZMO1_ZMO0122	.	+	-221
ZM4	118357	118358	ZMO0023_peak_23	58.5084	ZM4	118061	118062	ZMO1_ZMO0128	.	-	-296
ZM4	140672	140673	ZMO0023_peak_24	496.213	ZM4	140798	140799	ZMO1_ZMO2043	.	+	-126
